X	Y
0.955321	0.239021
0.134983	0.838221
0.158055	0.600787
0.493057	0.373272
0.906705	0.74865
0.503281	0.0768761
0.305795	0.882717
0.522874	0.50499
0.305368	0.800226
0.719077	0.978393
0.974548	0.698447
0.78576	0.0585955
0.199591	0.706046
0.474227	0.580126
0.712027	0.424116
0.094821	0.770653
0.852626	0.258522
0.645466	0.490493
0.978393	0.824152
0.723319	0.122318
0.918363	0.202857
0.876095	0.142674
0.384136	0.336375
0.548936	0.906095
0.742271	0.334696
0.283242	0.673635
0.053621	0.98233
0.323679	0.416791
0.787164	0.222602
0.289804	0.4279
0.113285	0.902219
0.0681478	0.268441
0.183905	0.556078
0.58153	0.086642
0.30488	0.515275
0.591205	0.835353
0.40727	0.117832
0.18894	0.421461
0.723838	0.304758
0.134373	0.318522
0.0766625	0.381726
0.69454	0.673238
0.682516	0.228217
0.141484	0.4373
0.881893	0.735252
0.564623	0.5562
0.698386	0.752556
0.153203	0.745537
0.634022	0.32725
0.606525	0.886746
0.607532	0.514267
0.826533	0.573077
0.441115	0.540666
0.550523	0.837336
0.802698	0.604541
0.0791955	0.592242
0.00900296	0.0899686
0.75689	0.815363
0.596728	0.479385
0.359539	0.00903348
0.0670492	0.744102
0.0479141	0.967223
0.710746	0.494949
0.0406812	0.379864
0.919065	0.673849
0.665029	0.306986
0.88757	0.0674764
0.940245	0.0526139
0.118748	0.424696
0.350688	0.470565
0.629749	0.458541
0.964782	0.233253
0.271004	0.51442
0.555498	0.0943632
0.0631428	0.185278
0.879482	0.677206
0.957213	0.655721
0.770257	0.819361
0.925047	0.0553911
0.20246	0.00567644
0.786248	0.6039
0.982879	0.91995
0.677419	0.827479
0.224555	0.647237
0.57033	0.629566
0.260598	0.557817
0.745262	0.496017
0.153569	0.403974
0.625568	0.616199
0.456832	0.660939
0.879879	0.201605
0.384075	0.643147
0.198004	0.78283
0.0433363	0.427381
0.647176	0.766228
0.891751	0.113437
0.0142216	0.0317392
0.0671407	0.454329
0.0408338	0.853145
0.752983	0.386425
0.957152	0.921171
0.232643	0.491836
0.220771	0.752281
0.789453	0.923002
0.866909	0.262734
0.108615	0.821894
0.376232	0.790338
0.337535	0.76458
0.466536	0.344432
0.46025	0.262185
0.714286	0.365856
0.142949	0.84991
0.412763	0.777947
0.706168	0.79516
0.572802	0.609485
0.380261	0.956084
0.471908	0.971587
0.500473	0.821741
0.659078	0.669027
0.797418	0.265114
0.82046	0.22776
0.439772	0.040376
0.412854	0.619678
0.985168	0.555437
0.470992	0.465743
0.89523	0.951018
0.494766	0.999176
0.771752	0.0180059
0.822993	0.569292
0.969543	0.983703
0.399518	0.967925
0.742393	0.698172
0.33845	0.359203
0.578967	0.252815
0.194189	0.0941191
0.883786	0.561541
0.342875	0.191168
0.660543	0.93585
0.381542	0.764092
0.353587	0.185797
0.950926	0.178289
0.503769	0.277261
0.888333	0.217139
0.375072	0.0770287
0.11713	0.038789
0.208014	0.217444
0.178442	0.205969
0.256569	0.610981
0.811945	0.568651
0.26426	0.646687
0.491409	0.281777
0.536088	0.599536
0.322153	0.739158
0.262307	0.283853
0.20542	0.704276
0.250649	0.482192
0.677023	0.419843
0.722709	0.180639
0.325846	0.97705
0.331065	0.14243
0.198798	0.725852
0.0537736	0.850215
0.0983306	0.00753807
0.121342	0.349071
0.178686	0.990783
0.633808	0.0210883
0.747276	0.892331
0.023133	0.822748
0.67745	0.364147
0.0178533	0.0163274
0.338816	0.327219
0.265511	0.927244
0.451338	0.0343333
0.269967	0.757164
0.769494	0.642415
0.799219	0.985931
0.0028077	0.0759606
0.420087	0.391949
0.879177	0.462661
0.316385	0.223243
0.756371	0.922697
0.046144	0.550218
0.689535	0.992492
0.395001	0.331004
0.359203	0.464827
0.981109	0.221412
0.767357	0.926145
0.768517	0.65981
0.10712	0.772057
0.144871	0.258919
0.712668	0.983062
0.720145	0.035493
0.495254	0.440931
0.501572	0.508927
0.772118	0.0676901
0.60271	0.200537
0.893887	0.567797
0.14127	0.564287
0.577258	0.0550554
0.482986	0.880459
0.349101	0.34611
0.487259	0.143437
0.00781274	0.200446
0.911222	0.475112
0.508866	0.289438
0.627979	0.0944243
0.179998	0.174902
0.81579	0.375378
0.673391	0.0788293
0.774041	0.0236518
0.559679	0.725272
0.522538	0.904233
0.971282	0.0356761
0.840266	0.549913
0.20072	0.959319
0.899594	0.883389
0.660115	0.219214
0.152776	0.183081
0.108371	0.255928
0.626545	0.82458
0.552293	0.149297
0.280953	0.828394
0.72747	0.800348
0.589312	0.746055
0.565813	0.153966
0.994537	0.914945
0.555559	0.744163
0.399396	0.61388
0.400006	0.342235
0.345531	0.149876
0.881466	0.99057
0.0386059	0.408429
0.336406	0.201544
0.875393	0.897244
0.648366	0.604511
0.62859	0.815851
0.164434	0.820612
0.946928	0.181707
0.442152	0.847835
0.325114	0.544206
0.232307	0.73693
0.201422	0.317728
0.604755	0.839473
0.337962	0.265236
0.622669	0.409589
0.14069	0.163335
0.472243	0.84048
0.0751671	0.180486
0.453413	0.316782
0.83401	0.999023
0.738334	0.164373
0.412702	0.212836
0.303568	0.678579
0.750084	0.0315867
0.942534	0.71218
0.0889309	0.822901
0.764	0.804468
0.714316	0.523331
0.0834376	0.132511
0.224281	0.450392
0.113102	0.0660726
0.990722	0.545549
0.357097	0.606983
0.965514	0.580584
0.117832	0.494858
0.488845	0.357799
0.0201422	0.260018
0.255501	0.435713
0.959166	0.00469985
0.0959197	0.411542
0.378216	0.194342
0.727683	0.291269
0.283151	0.239631
0.133976	0.979247
0.899167	0.150945
0.725547	0.417615
0.376507	0.0463271
0.941679	0.408124
0.451338	0.794214
0.447188	0.646138
0.467605	0.571978
0.581378	0.999237
0.666921	0.622181
0.21485	0.5609
0.151952	0.986816
0.671316	0.511185
0.430128	0.501724
0.869533	0.314859
0.943358	0.831782
0.34254	0.289163
0.490585	0.828578
0.290262	0.0714133
0.949248	0.991241
0.320963	0.0188299
0.201453	0.31254
0.0390027	0.0707114
0.671926	0.290536
0.134281	0.105167
0.382977	0.387768
0.129856	0.321055
0.934019	0.718833
0.444197	0.676504
0.310434	0.247719
0.923856	0.915403
0.92938	0.276437
0.503311	0.213172
0.827692	0.505448
0.148167	0.972686
0.398877	0.44789
0.737266	0.801813
0.585284	0.478683
0.0409864	0.204169
0.931211	0.299265
0.451552	0.0137944
0.403912	0.10004
0.62093	0.105106
0.388501	0.200964
0.663869	0.40965
0.762535	0.452193
0.0813318	0.770837
0.45732	0.17542
0.0608844	0.667531
0.411664	0.927946
0.310221	0.338328
0.324351	0.869686
0.0803858	0.337291
0.11182	0.0154729
0.534501	0.0526139
0.477157	0.15305
0.118351	0.219489
0.496597	0.708426
0.0895718	0.958251
0.629963	0.339793
0.860836	0.369152
0.0610675	0.541124
0.313944	0.2154
0.774529	0.0368053
0.741081	0.724723
0.275033	0.248634
0.568712	0.0417188
0.355754	0.61623
0.521592	0.36195
0.821375	0.0520951
0.382031	0.27842
0.57271	0.313089
0.0011597	0.372875
0.959136	0.568651
0.718741	0.581805
0.804163	0.948027
0.846858	0.36964
0.0119633	0.346782
0.374859	0.23957
0.15949	0.27485
0.550951	0.613483
0.981536	0.0263985
0.497085	0.612415
0.154485	0.953398
0.51323	0.768548
0.28544	0.123936
0.227393	0.200171
0.51207	0.146794
0.247719	0.280801
0.620808	0.442701
0.472518	0.333506
0.0880764	0.744652
0.714957	0.382122
0.952422	0.10773
0.798456	0.490097
0.922117	0.21015
0.778893	0.718894
0.626087	0.226264
0.450087	0.236152
0.41319	0.0532548
0.788903	0.606159
0.60683	0.172674
0.495651	0.792749
0.620685	0.927915
0.286905	0.906491
0.84225	0.498733
0.0962249	0.227271
0.689993	0.354869
0.839412	0.533738
0.750786	0.468734
0.900449	0.269936
0.403363	0.0695212
0.994415	0.582141
0.834895	0.219611
0.563707	0.754997
0.855708	0.994263
0.363506	0.0801111
0.419568	0.54619
0.393078	0.687185
0.255196	0.836299
0.828974	0.369213
0.515305	0.311258
0.11655	0.933287
0.849391	0.310251
0.875729	0.107913
0.806726	0.480789
0.777703	0.538347
0.975646	0.985992
0.0483718	0.900784
0.765496	0.784021
0.755181	0.667226
0.237129	0.760979
0.533219	0.552019
0.888943	0.998657
0.907254	0.170904
0.803613	0.958159
0.865383	0.9447
0.0630818	0.861019
0.841304	0.777917
0.837001	0.0485244
0.760704	0.54445
0.0511185	0.601215
0.308451	0.910794
0.0424512	0.998871
0.0728477	0.52855
0.10654	0.103275
0.722983	0.127384
0.343944	0.24427
0.875423	0.539628
0.711478	0.69042
0.80694	0.187475
0.685049	0.285928
0.668813	0.0647298
0.439924	0.534867
0.3596	0.743858
0.954863	0.913694
0.712302	0.439192
0.946226	0.693503
0.152074	0.658956
0.0386364	0.0537126
0.481216	0.475448
0.0780663	0.767571
0.946867	0.946318
0.993683	0.241279
0.248756	0.717093
0.114933	0.188147
0.642201	0.336772
0.349986	0.718314
0.793207	0.317576
0.131413	0.126102
0.541826	0.469985
0.53621	0.155919
0.229835	0.54442
0.485366	0.0274056
0.749321	0.710898
0.43028	0.00231941
0.967986	0.907804
0.431257	0.773156
0.687826	0.590991
0.0352184	0.455397
0.793115	0.91467
0.858425	0.464766
0.744346	0.874874
0.280099	0.0601825
0.0737938	0.447523
0.154424	0.834193
0.0395215	0.251503
0.945555	0.931791
0.0937834	0.768517
0.193213	0.279031
0.322031	0.650777
0.714652	0.602802
0.509018	0.148015
0.448561	0.52266
0.988067	0.184729
0.348766	0.4962
0.929655	0.118931
0.232154	0.899442
0.225929	0.714164
0.988372	0.0227668
0.627064	0.355235
0.0570086	0.264809
0.285653	0.0398267
0.578631	0.303995
0.365978	0.176183
0.125706	0.530595
0.87344	0.719108
0.420301	0.519425
0.3614	0.674947
0.943785	0.824885
0.671072	0.507065
0.845668	0.879574
0.360698	0.472732
0.05768	0.277505
0.980743	0.4232
0.0189215	0.223518
0.850673	0.0975982
0.918546	0.429945
0.494278	0.44264
0.862453	0.241554
0.389355	0.988403
0.870022	0.270608
0.187902	0.812586
0.10712	0.322703
0.063448	0.123539
0.261757	0.894955
0.341624	0.993805
0.46849	0.0276193
